Ticker,Company Name,Market Cap,Website
BH,Biglari Holdings Inc.,436802048,https://www.biglariholdings.com
BHE,"Benchmark Electronics, Inc. Common Stock",995438720,https://www.bench.com
BHI,Baker Hughes Incorporated Common Stock,,
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,585450816,https://www.blackrock.com/investing/products/240176/blackrock-core-bond-trust-usd-fund
BHL,Blackrock Defined Opportunity Credit Trust Blackrock Defined Opportunity Credit Trust,,
BHLB,"Berkshire Hills Bancorp, Inc. Common Stock",1500652800,https://www.berkshirebank.com
BHP,BHP Billiton Limited Common Stock,151970250752,https://www.bhp.com
BID,Sotheby's Common Stock,,
BIE,BlackRock Municipal Bond Investment Trust,,
BIF,"Boulder Growth & Income Fund, Inc.",,
BIG,"Big Lots, Inc. Common Stock",605308736,https://www.biglots.com
BIN,Progressive Waste Solutions Ltd. Common Shares,,
BIO,Bio,12080229376,https://www.bio-rad.com
BIO.B,Bio,,
BIOA,BioAmber Inc. Common Stock,,
BIOA.W,"BioAmber Inc. Warrant, expiring May 9, 2017",,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,11594324992,https://www.bip.brookfield.com
BIT,BlackRock Multi,555858432,https://www.blackrock.com/investing/products/249839/blackrock-multisector-income-trust-fund
BITA,Bitauto Holdings Limited American Depositary Shares (each representing one ordinary share),,
BJZ,Blackrock California Municipal 2018 Term Trust Blackrock California Municipal 2018 Term Trust,,
BK,Bank of New York Mellon Corporation (The) Common Stock,37566599168,https://www.bnymellon.com
BKD,Brookdale Senior Living Inc. Common Stock,593158400,https://www.brookdale.com
BKE,"Buckle, Inc. (The) Common Stock",2149149184,https://www.buckle.com
BKH,Black Hills Corporation Common Stock,4469974016,https://www.blackhillscorp.com
BKK,Blackrock Municipal 2020 Term Trust,,
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),214400464,https://www.blackrock.com/investing/products/240215/blackrock-investment-quality-municipal-trust-usd-fund
BKS,"Barnes & Noble, Inc. Common Stock",,
BKT,BlackRock Income Trust Inc. (The),803148736,https://www.blackrock.com/investing/products/240196/blackrock-income-trust-inc-usd-fund
BKU,"BankUnited, Inc. Common Stock",3249134336,https://www.bankunited.com
BLH,Blackrock New York Municipal 2018 Term Trust,,
BLK,"BlackRock, Inc. Common Stock",111859523584,https://www.blackrock.com
